"city","category","location","rank"
"Denver","attractions","RiNo Art District ",2
"Denver","attractions","ROOM 5280 Escape Room",3
"Miami","attractions","Shark Valley ",1
"Miami","attractions","Historic Virginia Key Beach Park ",2
"Miami","attractions","Zoological Wildlife Foundation ",3
"Charlotte","attractions","Freedom Park - turkey trot",1
"Charlotte","attractions","Charlotte Christmas Village",2
"Charlotte","attractions","McAlpine Creek Park",3
"Houston","attractions","1940 Air Terminal Museum",1
"Houston","attractions","Lone Star Flight Museum",2
"Houston","attractions","Holocaust Museum Houston",3
"Orlando","attractions","SKELETONS: Museum Of Osteology ",1
"Orlando","attractions","Madame Tussauds",2
"Orlando","attractions","Arcade City",3
"Boston","attractions","Basilica of Our Lady of Perpetual Help",1
"Boston","attractions","St. Stephen's Catholic Church",2
"Boston","attractions","Cathedral of the Holy Cross",3
"New York","attractions","Statue of Liberty",1
"New York","attractions","Pier 78 ",2
"New York","attractions","Radio City Music Hall",3
"Los Angeles","attractions","Capitol Records ",1
"Los Angeles","attractions","Griffith Park Train Rides ",2
"Los Angeles","attractions","Secret Swing, Elysian Park ",3
"Atlanta","attractions","Georgia Aquarium",1
"Atlanta","attractions","World of Coca-Cola",2
"Atlanta","attractions","Zoo Atlanta",3
"Seattle","attractions","Wings Over Washington ",1
"Seattle","attractions","Seattle Children’s Museum",2
"Seattle","attractions","The Seattle Great Wheel ",3
"Dallas","attractions","White Rock Lake Dog Park",1
"Dallas","attractions","Bachman Lake Park",2
"Dallas","attractions","Wagging Tail Dog Park",3
"Portland","attractions","Peninsula Park Rose Garden",1
"Portland","attractions","St. Johns Bridge",2
"Portland","attractions","Witch's Castle ",3
"San Francisco","attractions","California Academy of Sciences",1
"San Francisco","attractions","Lands End Labyrinth",2
"San Francisco","attractions","de Young Museum",3
"Philadelphia","shopping","Christmas Village, LOVE Park",1
"Philadelphia","shopping","Fine Wine & Good Spirits",2
"Philadelphia","shopping","Macy’s",3
"Cleveland","shopping","Depot Train & Hobby ",1
"Cleveland","shopping","XHIBITION ",2
"Cleveland","shopping","Tink Holl ",3
"Detroit","shopping","Shinola ",1
"Detroit","shopping","Detroit Denim Company ",2
"Detroit","shopping","Filson ",3
"Raleigh","shopping","Hobby Lobby ",1
"Raleigh","shopping","Best Buy",2
"Raleigh","shopping","Northern Tool + Equipment ",3
"Washington D.C.","shopping","Downtown Holiday Market ",1
"Washington D.C.","shopping","Lord + Taylor",2
"Washington D.C.","shopping","Gucci",3
"Minneapolis","shopping","Kitchen Window ",1
"Minneapolis","shopping","Ingebretsen's Scandinavian Gifts & Foods ",2
"Minneapolis","shopping","Cub Foods",3
"Sacramento","shopping","The HoneyBaked Ham Co.",1
"Sacramento","shopping","Real Pie Company",2
"Sacramento","shopping","Trader Joes",3
"St. Louis","shopping","Schucks ",1
"St. Louis","shopping","Best Buy",2
"St. Louis","shopping","Fields Foods ",3
"Phoenix","shopping","Best Buy",1
"Phoenix","shopping","Cowtown Boots",2
"Phoenix","shopping","Zia Records",3
"Tampa","shopping","Lowe’s",1
"Tampa","shopping","Best Buy",2
"Tampa","shopping","Crate & Barrel",3
"Chicago","shopping","Total Wine & More",1
"Chicago","shopping","Morrison Smith Fine & Custom Jewelers",2
"Chicago","shopping","Macy’s",3
"Pittsburgh","shopping","Ross Park Mall",1
"Pittsburgh","shopping","Station Square ",2
"Pittsburgh","shopping","Fifth Avenue Place ",3
"Denver","shopping","Macy's",1
"Denver","shopping","H&M",2
"Denver","shopping","Safeway",3
"Miami","shopping","The Home Depot",1
"Miami","shopping","Target",2
"Miami","shopping","Zara",3
"Charlotte","shopping","Total Wine & More",1
"Charlotte","shopping","Morrison Smith Fine & Custom Jewelers",2
"Charlotte","shopping","Macy’s",3
"Houston","shopping","Best Buy",1
"Houston","shopping","Gordy & Sons ",2
"Houston","shopping","Trader Joe’s",3
"Orlando","shopping","The Florida Mall",1
"Orlando","shopping","Orlando Premium Outlets",2
"Orlando","shopping","The Mall at Millenia ",3
"Boston","shopping","Canada Goose Boston",1
"Boston","shopping","MAC Cosmetics",2
"Boston","shopping","JCrew",3
"New York","shopping","NikeTown New York",1
"New York","shopping","FAO Schwarz",2
"New York","shopping","Macy's",3
"Los Angeles","shopping","Golf Wang ",1
"Los Angeles","shopping","Union ",2
"Los Angeles","shopping","Gucci",3
"Atlanta","shopping","GameStop",1
"Atlanta","shopping","Barnes & Noble",2
"Atlanta","shopping","Sam Ash Music Stores",3
"Seattle","shopping","Best Buy",1
"Seattle","shopping","Whole Foods",2
"Seattle","shopping","H Mart ",3
"Dallas","shopping","North Pole Christmas Trees",1
"Dallas","shopping","NorthPark Mall",2
"Dallas","shopping","West Village ",3
"Portland","shopping","The LEGO Store",1
"Portland","shopping","Hollywood Beverage ",2
"Portland","shopping","The Dr. Martens Store",3
"San Francisco","shopping","The North Face ",1
"San Francisco","shopping","Blick Art Materials",2
"San Francisco","shopping","The Fatted Calf",3
